Tornadas Avarage age is: 17.2
Tornadas Avarage height is: 187.8


Perkunas Avarage age is: 17.8
Perkunas Avarage height is: 188.6

Players above avg height;
-----------------------------------
Nr.; |Name and Surname;| Age;| Height|; 
-----------------------------------
1;     Nojus Noajaitis  ; 18;    190;
2;     Rokas Rokaitis   ; 18;    188;
3;     Matas Mataitis   ; 15;    192;
4;     Benas Benaitis   ; 20;    195;
5;     Rytis Rytenas    ; 18;    190;
-----------------------------------


Sorted;
-----------------------------------
Nr.; |Name and Surname;| Age;| Height|; 
-----------------------------------
1;     Matas Mataitis   ; 15;    192;
2;     Nojus Noajaitis  ; 18;    190;
3;     Rokas Rokaitis   ; 18;    188;
4;     Rytis Rytenas    ; 18;    190;
5;     Benas Benaitis   ; 20;    195;
-----------------------------------

